 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    3.5853999999999999       eV
 efermi =   -7.2675180499999987       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
   0.3922410780E+001  -0.2295198220E-003   0.3584168235E-003   0.9899923309E+000  -0.2318400000E-003   0.3620400000E-003
   0.3999349831E+001  -0.2294428156E-003   0.3583137912E-003   0.9901726896E+000  -0.2317200000E-003   0.3618700000E-003
   0.4076988994E+001  -0.2293745511E-003   0.3582089509E-003   0.9903482192E+000  -0.2316100000E-003   0.3617000000E-003
   0.4155328194E+001  -0.2293150746E-003   0.3581122720E-003   0.9905190904E+000  -0.2315100000E-003   0.3615400000E-003
   0.4234367469E+001  -0.2292743375E-003   0.3580139139E-003   0.9906854665E+000  -0.2314300000E-003   0.3613800000E-003
   0.4314106818E+001  -0.2292424785E-003   0.3579238438E-003   0.9908475037E+000  -0.2313600000E-003   0.3612300000E-003
   0.4394546241E+001  -0.2292294478E-003   0.3578223022E-003   0.9910053514E+000  -0.2313100000E-003   0.3610700000E-003
   0.4475685738E+001  -0.2292253772E-003   0.3577192498E-003   0.9911591526E+000  -0.2312700000E-003   0.3609100000E-003
   0.4557525310E+001  -0.2292402165E-003   0.3576147378E-003   0.9913090445E+000  -0.2312500000E-003   0.3607500000E-003
   0.4640064957E+001  -0.2292541762E-003   0.3574989010E-003   0.9914551583E+000  -0.2312300000E-003   0.3605800000E-003
   0.4723304677E+001  -0.2292871176E-003   0.3573816981E-003   0.9915976197E+000  -0.2312300000E-003   0.3604100000E-003
   0.4807244472E+001  -0.2293291597E-003   0.3572631746E-003   0.9917365496E+000  -0.2312400000E-003   0.3602400000E-003
