 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    3.5853999999999999       eV
 efermi =   -7.2675180499999987       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1200790305E+000  -0.4712869000E-003   0.5194170219E-003   0.7673807702E+000  -0.6141500000E-003   0.6768700000E-003
  -0.1127291687E+000  -0.4709363093E-003   0.5143018236E-003   0.7750762167E+000  -0.6076000000E-003   0.6635500000E-003
  -0.1053793069E+000  -0.4702291901E-003   0.5092297976E-003   0.7823592275E+000  -0.6010400000E-003   0.6508900000E-003
  -0.9802944509E-001  -0.4692121282E-003   0.5042313748E-003   0.7892550516E+000  -0.5945000000E-003   0.6388700000E-003
  -0.9067958329E-001  -0.4679152590E-003   0.4993090870E-003   0.7957877838E+000  -0.5879900000E-003   0.6274400000E-003
  -0.8332972149E-001  -0.4663675698E-003   0.4944689586E-003   0.8019802754E+000  -0.5815200000E-003   0.6165600000E-003
  -0.7597985969E-001  -0.4646049676E-003   0.4897373085E-003   0.8078540934E+000  -0.5751100000E-003   0.6062200000E-003
  -0.6862999789E-001  -0.4626543040E-003   0.4851049585E-003   0.8134295127E+000  -0.5687700000E-003   0.5963700000E-003
  -0.6128013609E-001  -0.4605249264E-003   0.4805837020E-003   0.8187255354E+000  -0.5624900000E-003   0.5869900000E-003
  -0.5393027429E-001  -0.4582576475E-003   0.4761744259E-003   0.8237599272E+000  -0.5563000000E-003   0.5780500000E-003
